layer_0_mood,layer_0_score,layer_1_mood,layer_1_score,layer_2_mood,layer_2_score,layer_3_mood,layer_3_score,layer_4_mood,layer_4_score,layer_5_mood,layer_5_score,layer_6_mood,layer_6_score,layer_7_mood,layer_7_score,layer_8_mood,layer_8_score,layer_9_mood,layer_9_score,layer_10_mood,layer_10_score,layer_11_mood,layer_11_score,round
0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0,0.0,100
0,0.0,94.7,3.034,90.7,2.858,86.2,2.666,86.7,2.757,87.7,2.63,87.2,2.653,88.4,2.655,84.6,2.666,90.7,2.261,90.2,2.09,0,0.0,200
0,0.0,93.1,3.107,89.1,2.916,79.9,2.712,84.6,2.702,83.9,2.676,89.5,2.725,80.8,2.706,82.0,2.686,92.0,2.287,94.0,2.185,0,0.0,300
