round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
3000,0,0,0,0,0,50.0,0.333,50.0,0.71
3100,0,0,0,0,0,50.0,1.333,50.0,0.752
3200,0,0,0,0,0,50.0,0.333,50.0,0.771
3300,0,0,0,0,0,50.0,1.333,50.0,0.737
3400,0,0,0,0,0,50.0,0.667,50.0,0.756
3500,0,0,0,0,0,50.0,0.667,50.0,0.743
3600,0,0,0,0,0,50.0,1.0,50.0,0.777
3700,0,0,0,0,0,50.0,0.667,50.0,0.707
3800,0,0,0,0,0,50.0,0.667,50.0,0.754
3900,0,0,0,0,0,50.0,1.0,50.0,0.7
4000,0,0,0,0,0,50.0,1.333,50.0,0.677
4100,0,0,0,0,0,50.0,0.667,50.0,0.777
4200,0,0,0,0,0,50.0,0.667,50.0,0.716
4300,0,0,0,0,0,50.0,1.333,50.0,0.727
4400,0,0,0,0,0,50.0,1.0,50.0,0.694
4500,0,0,0,0,0,50.0,0.667,50.0,0.708
4600,0,0,0,0,0,50.0,1.0,50.0,0.701
4700,0,0,0,0,0,50.0,1.0,50.0,0.73
4800,0,0,0,0,0,50.0,1.0,50.0,0.753
4900,0,0,0,0,0,50.0,1.0,50.0,0.705
5000,0,0,0,0,0,50.0,1.667,50.0,0.672
5100,0,0,0,0,0,50.0,0.667,50.0,0.751
5200,0,0,0,0,0,50.0,1.0,50.0,0.748
5300,0,0,0,0,0,50.0,1.0,50.0,0.753
5400,0,0,0,0,0,50.0,1.0,50.0,0.707
0,0,0,0,0,0,50.0,0.167,31.818,0.137
100,0,0,0,0,0,50.0,0.583,50.0,0.676
200,0,0,0,0,0,50.0,0.583,50.0,0.749
300,0,0,0,0,0,50.0,0.333,50.0,0.717
400,0,0,0,0,0,50.0,0.417,50.0,0.723
500,0,0,0,0,0,50.0,0.417,50.0,0.685
600,0,0,0,0,0,50.0,0.5,50.0,0.744
700,0,0,0,0,0,50.0,0.583,50.0,0.75
800,0,0,0,0,0,50.0,0.5,50.0,0.775
900,0,0,0,0,0,50.0,0.583,50.0,0.701
1000,0,0,0,0,0,50.0,0.75,50.0,0.671
1100,0,0,0,0,0,50.0,0.333,50.0,0.711
1200,0,0,0,0,0,50.0,0.5,50.0,0.764
1300,0,0,0,0,0,50.0,0.583,50.0,0.744
1400,0,0,0,0,0,50.0,0.333,50.0,0.8
1500,0,0,0,0,0,50.0,0.417,50.0,0.731
1600,0,0,0,0,0,50.0,0.583,50.0,0.722
1700,0,0,0,0,0,50.0,0.583,50.0,0.721
1800,0,0,0,0,0,50.0,0.5,50.0,0.767
1900,0,0,0,0,0,50.0,0.583,50.0,0.796
2000,0,0,0,0,0,50.0,0.75,50.0,0.727
2100,0,0,0,0,0,50.0,0.5,50.0,0.72
2200,0,0,0,0,0,50.0,0.583,50.0,0.715
2300,0,0,0,0,0,50.0,0.583,50.0,0.782
2400,0,0,0,0,0,50.0,0.583,50.0,0.74
2500,0,0,0,0,0,50.0,0.5,50.0,0.748
2600,0,0,0,0,0,50.0,0.75,50.0,0.732
2700,0,0,0,0,0,50.0,0.75,50.0,0.785
2800,0,0,0,0,0,50.0,0.5,50.0,0.687
2900,0,0,0,0,0,50.0,0.333,50.0,0.742
3000,0,0,0,0,0,50.0,0.75,50.0,0.756
3100,0,0,0,0,0,50.0,0.667,50.0,0.771
3200,0,0,0,0,0,50.0,0.5,50.0,0.692
3300,0,0,0,0,0,50.0,0.667,50.0,0.691
3400,0,0,0,0,0,50.0,0.167,50.0,0.728
3500,0,0,0,0,0,50.0,0.583,50.0,0.716
3600,0,0,0,0,0,50.0,0.417,50.0,0.742
3700,0,0,0,0,0,50.0,0.667,50.0,0.731
3800,0,0,0,0,0,50.0,0.833,50.0,0.74
3900,0,0,0,0,0,50.0,0.583,50.0,0.731
4000,0,0,0,0,0,50.0,0.333,50.0,0.738
4100,0,0,0,0,0,50.0,0.583,50.0,0.697
4200,0,0,0,0,0,50.0,0.583,50.0,0.64
4300,0,0,0,0,0,50.0,0.417,50.0,0.714
4400,0,0,0,0,0,50.0,0.5,50.0,0.785
4500,0,0,0,0,0,50.0,0.667,50.0,0.781
