round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
19800,99.733,3.368,0.364,3.676,0.0,50.0,0.47,50.0,0.464
19900,99.833,3.368,0.358,3.676,0.0,50.0,0.467,50.0,0.451
20000,99.8,3.369,0.358,3.676,0.0,50.0,0.469,50.0,0.453
20100,97.967,3.365,0.543,3.677,0.269,50.0,0.531,50.0,0.51
20200,98.6,3.364,0.407,3.676,0.059,50.0,0.484,50.0,0.469
20300,99.367,3.364,0.372,3.676,0.01,50.0,0.474,50.0,0.456
20400,99.433,3.365,0.363,3.676,0.001,50.0,0.478,50.0,0.449
20500,99.667,3.366,0.36,3.676,0.0,50.0,0.467,50.0,0.456
20600,99.833,3.367,0.352,3.676,0.0,50.0,0.462,50.0,0.438
20700,99.767,3.367,0.358,3.676,0.0,50.0,0.474,50.0,0.448
20800,99.633,3.368,0.356,3.676,0.0,50.0,0.46,50.0,0.44
20900,99.5,3.369,0.36,3.676,0.0,50.0,0.477,50.0,0.455
21000,99.667,3.37,0.37,3.676,0.0,50.0,0.472,50.0,0.458
21100,98.233,3.366,0.53,3.676,0.281,50.0,0.54,50.0,0.522
21200,98.833,3.365,0.401,3.676,0.056,50.0,0.482,50.0,0.472
21300,99.433,3.365,0.364,3.676,0.01,50.0,0.465,50.0,0.45
21400,99.733,3.366,0.361,3.676,0.001,50.0,0.493,50.0,0.458
21500,99.733,3.367,0.365,3.676,0.0,50.0,0.473,50.0,0.465
21600,99.7,3.367,0.364,3.676,0.0,50.0,0.456,50.0,0.459
21700,99.567,3.368,0.359,3.676,0.0,50.0,0.478,50.0,0.465
21800,99.833,3.369,0.353,3.676,0.0,50.0,0.449,50.0,0.438
21900,99.767,3.37,0.362,3.676,0.0,50.0,0.471,50.0,0.471
22000,99.567,3.37,0.367,3.676,0.0,50.0,0.487,50.0,0.465
22100,98.167,3.367,0.516,3.677,0.281,50.0,0.511,50.0,0.518
22200,98.833,3.366,0.401,3.676,0.058,50.0,0.465,50.0,0.451
22300,99.7,3.366,0.369,3.677,0.008,50.0,0.481,50.0,0.451
22400,99.933,3.367,0.36,3.676,0.001,50.0,0.477,50.0,0.459
22500,99.833,3.367,0.362,3.676,0.0,50.0,0.471,50.0,0.451
22600,99.767,3.368,0.359,3.676,0.0,50.0,0.471,50.0,0.462
22700,99.633,3.369,0.364,3.676,0.0,50.0,0.461,50.0,0.451
22800,99.733,3.369,0.361,3.676,0.0,50.0,0.472,50.0,0.45
22900,99.667,3.37,0.348,3.676,0.0,50.0,0.456,50.0,0.456
23000,99.567,3.371,0.361,3.676,0.0,50.0,0.47,50.0,0.455
23100,98.533,3.367,0.514,3.676,0.247,50.0,0.533,50.0,0.508
23200,99.067,3.366,0.4,3.677,0.06,50.0,0.497,50.0,0.478
23300,99.567,3.366,0.37,3.676,0.014,50.0,0.469,50.0,0.45
23400,99.5,3.367,0.355,3.676,0.0,50.0,0.478,50.0,0.449
23500,99.8,3.368,0.36,3.676,0.0,50.0,0.472,50.0,0.451
23600,99.667,3.368,0.359,3.676,0.0,50.0,0.468,50.0,0.449
23700,99.667,3.369,0.356,3.676,0.0,50.0,0.471,50.0,0.453
23800,99.7,3.37,0.36,3.676,0.0,50.0,0.463,50.0,0.456
23900,99.7,3.37,0.362,3.676,0.0,50.0,0.465,50.0,0.453
24000,99.833,3.371,0.352,3.676,0.0,50.0,0.452,50.0,0.454
24100,98.367,3.368,0.522,3.676,0.269,50.0,0.524,50.0,0.516
24200,99.3,3.367,0.398,3.675,0.05,50.0,0.464,50.0,0.459
24300,99.533,3.367,0.37,3.674,0.01,50.0,0.474,50.0,0.441
24400,99.667,3.367,0.364,3.674,0.004,50.0,0.48,50.0,0.46
24500,99.8,3.368,0.356,3.674,0.0,50.0,0.464,50.0,0.451
24600,99.7,3.369,0.36,3.674,0.0,50.0,0.472,50.0,0.456
24700,99.733,3.369,0.365,3.674,0.0,50.0,0.468,50.0,0.465
24800,99.533,3.37,0.358,3.674,0.0,50.0,0.48,50.0,0.453
24900,99.567,3.371,0.36,3.674,0.0,50.0,0.454,50.0,0.449
25000,99.6,3.371,0.356,3.674,0.0,50.0,0.48,50.0,0.469
25100,98.533,3.368,0.529,3.673,0.27,50.0,0.52,50.0,0.512
25200,98.867,3.367,0.406,3.673,0.056,50.0,0.483,50.0,0.457
25300,99.433,3.367,0.363,3.673,0.01,50.0,0.465,50.0,0.44
25400,99.7,3.368,0.363,3.673,0.0,50.0,0.469,50.0,0.443
25500,99.733,3.368,0.367,3.673,0.0,50.0,0.476,50.0,0.464
25600,99.8,3.369,0.366,3.673,0.0,50.0,0.476,50.0,0.448
