round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,98.5,2.623,0.549,3.664,0.307,50.0,0.426,50.0,0.458
200,99.556,2.897,0.502,3.562,0.037,50.0,0.436,50.0,0.388
300,99.778,3.064,0.44,3.553,0.003,50.0,0.464,50.0,0.432
400,99.778,3.165,0.402,3.554,0.0,50.0,0.393,50.0,0.421
500,99.611,3.232,0.382,3.554,0.0,50.0,0.384,50.0,0.409
600,99.667,3.282,0.368,3.554,0.0,50.0,0.4,50.0,0.402
700,99.944,3.319,0.336,3.554,0.0,50.0,0.379,50.0,0.466
800,99.778,3.35,0.367,3.554,0.0,50.0,0.41,50.0,0.389
900,99.833,3.375,0.36,3.554,0.0,50.0,0.402,50.0,0.419
1000,99.556,3.397,0.386,3.554,0.0,50.0,0.399,50.0,0.404
1100,99.389,3.337,0.499,3.592,0.285,50.0,0.545,50.0,0.514
1200,99.611,3.32,0.45,3.596,0.078,50.0,0.423,50.0,0.447
1300,99.5,3.329,0.43,3.599,0.022,50.0,0.424,50.0,0.424
1400,99.833,3.342,0.388,3.599,0.0,50.0,0.398,50.0,0.417
1500,99.944,3.356,0.377,3.599,0.0,50.0,0.407,50.0,0.401
1600,99.889,3.369,0.369,3.599,0.0,50.0,0.389,50.0,0.413
1700,99.833,3.38,0.378,3.599,0.0,50.0,0.433,50.0,0.405
1800,99.833,3.392,0.379,3.599,0.0,50.0,0.409,50.0,0.405
1900,99.778,3.403,0.387,3.599,0.0,50.0,0.421,50.0,0.414
2000,100.0,3.412,0.357,3.599,0.0,50.0,0.404,50.0,0.379
2100,99.111,3.375,0.56,3.612,0.266,50.0,0.528,50.0,0.556
2200,99.778,3.361,0.397,3.642,0.066,50.0,0.43,50.0,0.443
2300,99.556,3.367,0.409,3.642,0.007,50.0,0.421,50.0,0.46
2400,99.944,3.374,0.364,3.642,0.0,50.0,0.366,50.0,0.411
2500,99.944,3.383,0.344,3.642,0.0,50.0,0.395,50.0,0.42
2600,99.944,3.391,0.354,3.642,0.0,50.0,0.4,50.0,0.4
2700,99.944,3.398,0.373,3.642,0.0,50.0,0.455,50.0,0.401
2800,99.944,3.405,0.353,3.642,0.0,50.0,0.389,50.0,0.428
2900,99.722,3.412,0.374,3.642,0.0,50.0,0.359,50.0,0.411
3000,99.778,3.418,0.363,3.642,0.0,50.0,0.402,50.0,0.436
3100,99.722,3.395,0.492,3.63,0.248,50.0,0.467,50.0,0.46
3200,99.556,3.386,0.435,3.64,0.066,50.0,0.403,50.0,0.417
3300,100.0,3.389,0.34,3.645,0.011,50.0,0.38,50.0,0.385
3400,99.944,3.393,0.359,3.645,0.002,50.0,0.364,50.0,0.398
3500,99.944,3.398,0.367,3.645,0.002,50.0,0.41,50.0,0.431
3600,99.722,3.402,0.354,3.645,0.002,50.0,0.439,50.0,0.416
3700,99.833,3.408,0.375,3.645,0.0,50.0,0.384,50.0,0.433
3800,99.889,3.412,0.373,3.645,0.0,50.0,0.391,50.0,0.412
3900,99.778,3.417,0.345,3.645,0.0,50.0,0.386,50.0,0.413
4000,99.722,3.422,0.398,3.645,0.0,50.0,0.433,50.0,0.416
4100,99.111,3.403,0.531,3.642,0.272,50.0,0.503,50.0,0.443
4200,99.889,3.395,0.372,3.635,0.05,50.0,0.393,50.0,0.414
4300,99.944,3.398,0.352,3.632,0.004,50.0,0.387,50.0,0.41
4400,99.722,3.402,0.366,3.633,0.0,50.0,0.409,50.0,0.413
4500,99.889,3.406,0.362,3.633,0.0,50.0,0.463,50.0,0.449
4600,99.722,3.41,0.359,3.633,0.0,50.0,0.414,50.0,0.419
4700,99.889,3.414,0.365,3.633,0.0,50.0,0.366,50.0,0.422
4800,99.722,3.418,0.375,3.633,0.0,50.0,0.376,50.0,0.438
4900,99.833,3.422,0.353,3.633,0.0,50.0,0.441,50.0,0.449
5000,99.889,3.425,0.366,3.633,0.0,50.0,0.441,50.0,0.398
5100,99.056,3.411,0.484,3.609,0.268,50.0,0.42,50.0,0.501
5200,99.833,3.405,0.432,3.612,0.039,50.0,0.467,50.0,0.423
5300,99.167,3.407,0.407,3.61,0.011,50.0,0.398,50.0,0.419
5400,99.889,3.409,0.369,3.61,0.002,50.0,0.43,50.0,0.424
5500,100.0,3.412,0.344,3.61,0.0,50.0,0.427,50.0,0.428
5600,99.833,3.415,0.364,3.61,0.0,50.0,0.385,50.0,0.455
5700,99.778,3.418,0.367,3.61,0.0,50.0,0.399,50.0,0.409
5800,99.833,3.422,0.37,3.61,0.0,50.0,0.406,50.0,0.443
5900,99.611,3.425,0.352,3.61,0.0,50.0,0.366,50.0,0.422
6000,99.944,3.428,0.381,3.61,0.0,50.0,0.425,50.0,0.444
6100,99.389,3.415,0.57,3.608,0.322,50.0,0.527,50.0,0.494
6200,99.556,3.408,0.434,3.615,0.084,50.0,0.443,50.0,0.428
6300,99.944,3.408,0.365,3.618,0.01,50.0,0.417,50.0,0.416
6400,99.778,3.411,0.356,3.619,0.0,50.0,0.414,50.0,0.381
6500,99.889,3.414,0.348,3.619,0.0,50.0,0.345,50.0,0.374
6600,100.0,3.417,0.344,3.619,0.0,50.0,0.419,50.0,0.426
6700,99.889,3.419,0.338,3.619,0.0,50.0,0.426,50.0,0.368
6800,99.833,3.422,0.381,3.619,0.0,50.0,0.365,50.0,0.416
6900,99.833,3.424,0.398,3.619,0.0,50.0,0.422,50.0,0.433
7000,99.667,3.427,0.375,3.619,0.0,50.0,0.424,50.0,0.37
7100,99.333,3.415,0.49,3.613,0.304,50.0,0.476,50.0,0.481
7200,99.778,3.411,0.404,3.604,0.052,50.0,0.422,50.0,0.417
7300,99.722,3.413,0.38,3.606,0.002,50.0,0.438,50.0,0.447
7400,99.833,3.415,0.384,3.606,0.0,50.0,0.411,50.0,0.398
7500,99.944,3.417,0.376,3.606,0.0,50.0,0.402,50.0,0.377
7600,100.0,3.42,0.389,3.606,0.0,50.0,0.412,50.0,0.452
7700,99.833,3.422,0.364,3.606,0.0,50.0,0.395,50.0,0.404
7800,99.722,3.424,0.365,3.606,0.0,50.0,0.376,50.0,0.414
7900,99.833,3.426,0.378,3.606,0.0,50.0,0.422,50.0,0.421
8000,99.889,3.428,0.379,3.606,0.0,50.0,0.42,50.0,0.45
8100,99.389,3.418,0.522,3.614,0.304,50.0,0.483,50.0,0.528
8200,99.833,3.414,0.381,3.613,0.043,50.0,0.414,50.0,0.416
8300,99.944,3.416,0.383,3.615,0.007,50.0,0.437,50.0,0.398
8400,99.889,3.418,0.378,3.616,0.007,50.0,0.407,50.0,0.427
8500,99.944,3.42,0.371,3.616,0.0,50.0,0.406,50.0,0.445
8600,99.833,3.422,0.353,3.616,0.0,50.0,0.418,50.0,0.423
8700,99.722,3.424,0.39,3.616,0.0,50.0,0.439,50.0,0.449
8800,99.889,3.426,0.361,3.616,0.0,50.0,0.377,50.0,0.394
8900,99.778,3.428,0.377,3.616,0.0,50.0,0.412,50.0,0.452
9000,99.778,3.429,0.376,3.616,0.0,50.0,0.411,50.0,0.39
9100,99.167,3.421,0.515,3.61,0.281,50.0,0.463,50.0,0.471
9200,99.722,3.416,0.425,3.606,0.066,50.0,0.453,50.0,0.424
9300,99.722,3.417,0.37,3.607,0.002,50.0,0.385,50.0,0.412
9400,99.611,3.418,0.391,3.608,0.002,50.0,0.404,50.0,0.43
9500,99.722,3.42,0.347,3.608,0.0,50.0,0.413,50.0,0.386
9600,99.944,3.421,0.379,3.608,0.0,50.0,0.42,50.0,0.442
9700,99.944,3.423,0.34,3.608,0.0,50.0,0.379,50.0,0.358
9800,99.833,3.425,0.365,3.608,0.0,50.0,0.417,50.0,0.39
9900,99.889,3.427,0.363,3.608,0.0,50.0,0.417,50.0,0.428
10000,100.0,3.428,0.366,3.608,0.0,50.0,0.382,50.0,0.44
10100,99.5,3.421,0.494,3.601,0.26,50.0,0.474,50.0,0.493
10200,99.833,3.42,0.373,3.603,0.078,50.0,0.438,50.0,0.415
10300,99.889,3.421,0.387,3.606,0.018,50.0,0.4,50.0,0.421
10400,99.722,3.423,0.363,3.608,0.0,50.0,0.395,50.0,0.43
10500,99.944,3.424,0.331,3.608,0.0,50.0,0.405,50.0,0.384
10600,99.722,3.426,0.378,3.608,0.0,50.0,0.41,50.0,0.433
10700,99.944,3.427,0.385,3.608,0.0,50.0,0.383,50.0,0.425
10800,99.833,3.429,0.361,3.608,0.0,50.0,0.369,50.0,0.39
10900,99.889,3.43,0.322,3.608,0.0,50.0,0.362,50.0,0.42
11000,99.611,3.432,0.373,3.608,0.0,50.0,0.385,50.0,0.396
11100,99.722,3.426,0.514,3.602,0.288,50.0,0.457,50.0,0.512
11200,99.778,3.423,0.372,3.598,0.075,50.0,0.39,50.0,0.422
11300,99.889,3.423,0.403,3.598,0.011,50.0,0.42,50.0,0.442
